#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1743,"Figure You Out","VOILÀ",95,10A,49,2023-03-07,02:43,38,"","Happy Never After",2022-10-07,63,51,0,54,0,10,-8,B Minor,4,70rev1qHOBZw950CTFTIwm,QM24S2003135,no
1744,"Therapy","VOILÀ",102,12A,65,2023-03-07,03:21,68,"","Happy Never After",2022-10-07,68,0,0,38,0,10,-7,C♯/D♭ Minor,4,3UxXEGw1UDAL4KBooq2VxY,QM24S2102244,no
1745,"SUPERIMPOSE","ELIO",108,10B,69,2023-03-07,03:07,0,"","ELIO'S INFERNO",2022-08-05,74,19,0,37,0,10,-7,D Major,4,4lrTdUCdKYuXJ8PGCW5lWy,QMEZE1946354,no
1746,"debbie downer","LØLØ,Maggie Lindemann",90,10B,93,2023-03-07,02:39,50,"","debbie downer",2022-02-10,56,1,0,69,0,0,-3,D Major,4,6VTzauIrG2hjKtKFYFJfMT,USHR22215402,yes
1747,"u turn me on (but u give me depression)","LØLØ",118,5B,82,2023-03-07,02:27,0,"","u turn me on (but u give me depression)",2022-08-19,70,1,0,91,0,10,-2,D#/E♭ Major,4,7MeP128gHh4GyTMoGUiZlt,USHR22215405,yes
1748,"La Di Da","VUKOVI",163,9B,89,2023-03-07,03:00,46,"","VUKOVI",2017-03-10,44,0,0,81,10,80,-3,G Major,4,3uRr07EDEbxDeUlTAcJ6hw,GB8MX1600430,yes
1749,"She Swam Higher","Dani Sylvia",91,4A,81,2023-03-07,04:47,33,"","She Swam Higher",2023-02-15,63,17,0,52,10,50,-5,F Minor,4,6l2UnJSiCqk2f6SqQdRYkd,QMFMF2234275,no
1750,"Out of Luck","TOKYO ROSE,PYLOT,Essenger",115,8A,88,2023-03-07,03:08,31,"synthwave, darkwave, vaporwave","Out of Luck",2022-04-22,61,2,0,35,0,10,-3,A Minor,4,1ZcwonELxwdTH39dmjyHts,QZDA62005759,no
1751,"Distant Sunset Flowers Re-Amplified","J Jey Alby",128,1B,84,2023-03-07,01:20,19,"melodic techno, synthwave","Distant Sunset Flowers Re-Amplified",2022-06-10,56,1,96,46,0,20,-6,B Major,4,0gRDVBhiwXqpvOfORRRaxZ,usdy42288202,no
1752,"BODEGA","Fox Blanco,DREAMDNVR",123,11A,53,2023-03-07,03:35,25,"","BODEGA",2023-02-17,76,33,0,19,0,10,-10,F#/G♭ Minor,4,0OEv9nSMcBomE7Liqtd5B7,SE59E2100126,no
1753,"Fight Fire With Gasoline","Self Deception",165,9A,90,2023-03-07,03:48,0,"","You Are Only As Sick As Your Secrets",2023-02-24,55,0,0,56,0,0,-7,E Minor,4,4rm1If4bXjLVO5zmex660Z,QMEZE1946210,yes
1754,"Hell and Back","Self Deception",145,5A,88,2023-03-07,02:56,0,"","Shapes",2020-03-13,44,2,0,28,10,0,-5,C Minor,4,2ZKYwK2Icv50QU156JORyQ,SE6DB1900106,no
1755,"PSYCHO","Self Deception",170,9B,96,2023-03-07,03:24,0,"","You Are Only As Sick As Your Secrets",2023-02-24,45,0,0,41,0,0,-5,G Major,4,2AGFAa6AwMqcFWj7YhUmSu,SE6DB2200104,yes
1756,"Smoke You Out","Self Deception",101,9A,95,2023-03-07,03:12,0,"","Shapes",2020-03-13,53,0,0,40,0,40,-4,E Minor,4,7kED1qnduf7UbCq5KZqFVz,SE6DB1900105,yes
1757,"ULETAY","ONEIL,ORGAN,Titov,FAVIA",100,10A,83,2023-03-09,02:41,0,"slap house, g-house, deep house, ","ULETAY",2022-11-04,52,16,0,45,10,30,-5,B Minor,4,6Pv2ssBWBcj2QFgmPl42gx,RUB422202778,no
1758,"CRYSTAL","ORGAN,ONEIL,FAVIA",120,4A,64,2023-03-09,01:57,25,"slap house, g-house, ","CRYSTAL",2023-02-03,86,19,0,36,0,10,-6,F Minor,4,7CK0HdGScjtw1ttiOSpiPL,GX89G2357797,no
1759,"Bad Man - Kordhell Remix","Disturbed,Kordhell",95,11B,96,2023-03-15,02:33,55,"metal, nu metal, alternative metal, rap metal, hard rock, phonk, drift phonk","Bad Man (Kordhell Remix)",2023-02-24,58,0,0,26,0,40,-2,A Major,4,3iebfHmYMs8dUcAC5qSQ8Y,USRE12300017,yes
1760,"Love Me Loud","Dani Sylvia",112,11A,70,2023-03-15,03:34,23,"","Love Me Loud",2021-10-01,71,15,0,86,0,10,-6,F#/G♭ Minor,4,0SCgiPccJCvjULxnqCGUZJ,GBKPL2162226,yes
1761,"Two of Us","Naptone,Basslovers United",155,8A,80,2023-03-15,03:47,9,"hardstyle, nightcore","Two of Us",2023-03-03,22,0,0,20,10,30,-5,A Minor,4,7MxkhCUhT1xyCcQUbUuXBG,DEML72300029,no
1762,"Miracle (with Ellie Goulding)","Calvin Harris,Ellie Goulding",143,11B,87,2023-03-18,03:06,74,"edm, ","Miracle (with Ellie Goulding)",2023-03-10,64,4,4,31,0,0,-5,A Major,4,5eTaQYBE1yrActixMAeLcZ,GBARL2300300,no
1763,"The Girl","Hellberg,Cozi Zuehlsdorff",126,8A,72,2023-03-20,04:25,49,"","The Girl",2015-03-16,49,7,0,43,0,10,-4,A Minor,4,4wWe3qI7pyxkNVVA3XTYoN,CA6D21500160,no
1764,"Collide","Hellberg,Deutgen,SPLITBREED",128,8A,78,2023-03-20,04:49,39,"dubstep","Collide",2013-04-30,59,0,0,42,10,0,-5,A Minor,4,6VjVfKucrPreTP5KnzKgf1,TCABS1341025,no
1765,"Let You Down (feat. Magsy)","Hellberg,Magsy",130,6B,66,2023-03-20,02:24,26,"","Let You Down (feat. Magsy)",2021-04-16,73,8,0,71,0,10,-6,A#/B♭ Major,3,3UqVIJeExhrTP6al1RpHii,DEE862100536,no
1766,"Dangerous (feat. Sam Martin)","David Guetta,Sam Martin",92,9A,75,2023-03-20,03:23,73,"edm, ","Listen",2014-11-10,47,42,0,43,0,10,-5,E Minor,4,7pqgMEKsDMOHUdFQ7n0N9K,GB28K1400036,no
1767,"Cake By The Ocean","DNCE",119,9A,75,2023-03-20,03:39,86,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637,yes
1768,"Dusk Till Dawn (feat. Sia) - Radio Edit","ZAYN,Sia",180,10A,44,2023-03-20,03:59,84,"","Icarus Falls",2018-12-14,26,10,0,10,0,10,-7,B Minor,4,3e7sxremeOE3wTySiOhGiP,USRC11702155,no
1769,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2023-03-20,05:57,88,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816,no
1770,"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","David Guetta,Flo Rida,Nicki Minaj",130,5B,88,2023-03-21,03:14,81,"edm, ","Nothing but the Beat (Ultimate Edition)",2012-12-07,67,6,0,55,0,20,-3,D#/E♭ Major,4,7ks6AZmFcm3Y6PGGxGSmlB,FRZID1100110,yes
1771,"Say So","Doja Cat",111,10A,67,2023-03-21,03:57,83,"","Hot Pink",2019-11-07,79,26,0,78,10,0,-5,B Minor,4,3Dv1eDb0MEgF93GpLXlucZ,USRC11903454,yes
1772,"DONTTRUSTME","3OH!3",130,4A,71,2023-03-21,03:12,77,"","WANT",2008-07-07,79,2,0,51,20,10,-4,F Minor,4,5jzX4dWVQeBTtfBaXnMRt5,USAT20802554,yes
1773,"Whataya Want from Me","Adam Lambert",186,10A,67,2023-03-21,03:47,60,"","For Your Entertainment",2009-00-00,44,1,0,46,0,0,-5,B Minor,4,0zv9bOC2NSMd3Fw2HgM5Xn,GBCTA0900344,no
1774,"If I Had You","Adam Lambert",131,9A,91,2023-03-21,03:48,50,"","For Your Entertainment",2009-00-00,65,1,0,77,10,30,-4,E Minor,4,1bq6XxdA59f5qJS5mw67Sc,GBCTA0900403,no
1775,"For Your Entertainment","Adam Lambert",130,3B,87,2023-03-21,03:35,44,"","For Your Entertainment",2009-00-00,66,5,0,63,10,0,-4,C♯/D♭ Major,4,5JcRh3VaWtyoXFeSrmwhgd,GBCTA0900399,no
1776,"Ghost Town","Adam Lambert",120,9A,74,2023-03-21,03:28,65,"","The Original High (Deluxe Version)",2015-06-12,70,19,0,27,0,10,-6,E Minor,4,44aN5xKL3kGHvQ5bXVk6B8,USWB11504265,yes
1777,"Sunshine","OneRepublic",140,7B,88,2023-03-21,02:43,73,"soft pop","Sunshine",2021-11-10,70,14,0,77,0,20,-5,F Major,4,5r43qanLhUCdBj8HN3fa6B,USUM72100506,no
1778,"Animals","Martin Garrix",128,3B,87,2023-03-21,05:04,76,"edm, progressive house, electronica","Animals",2013-06-17,68,0,72,4,0,30,-6,C♯/D♭ Major,4,0A9mHc7oYUoCECqByV8cQR,NLZ541300467,no
1779,"Starboy","The Weeknd,Daft Punk",186,9B,59,2023-03-21,03:50,93,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976,yes
1780,"Save Your Tears","The Weeknd",118,8B,83,2023-03-21,03:35,89,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658,yes
1781,"On Repeat","Robin Schulz,David Guetta",123,12A,80,2023-03-21,03:10,56,"tropical house, edm","On Repeat",2022-05-06,61,2,0,20,0,30,-8,C♯/D♭ Minor,4,4xbXuRfZ2ZLktw5QEdGYnX,DEA622200532,no
1782,"Sugar (feat. Francesco Yates)","Robin Schulz,Francesco Yates",123,4A,82,2023-03-21,03:39,85,"tropical house, ","Sugar",2015-09-25,64,2,0,64,0,10,-5,F Minor,4,5tf1VVWniHgryyumXyJM7w,DEA621501057,no
1783,"Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","Robin Schulz,Jasmine Thompson",125,2B,72,2023-03-21,02:59,75,"tropical house, ","Prayer",2014-09-16,55,10,0,50,0,30,-6,F#/G♭ Major,4,4zLBcDtvYNVtF9fnG6lme3,DEA621400666,no
1784,"Wildest Dreams","Taylor Swift",140,4B,66,2023-03-21,03:40,80,"","1989",2014-01-01,55,7,1,47,0,10,-7,G#/A♭ Major,4,3fVnlF4pGqWI9flVENcT28,USCJY1431379,no
1785,"Legends Never Die","League of Legends,Against The Current",140,9A,60,2023-03-21,03:55,13,"pop punk","Legends Never Die",2017-09-15,50,1,0,6,0,10,-7,E Minor,4,1FpVJ7HpZInE2GvhVE2TwT,QMAF31500062,no
1786,"Sober","P!nk",91,2B,80,2023-03-21,04:11,68,"","Funhouse (Expanded Edition)",2008-10-24,61,6,0,37,0,10,-5,F#/G♭ Major,4,733ncRLzZQT5UtSPg1QmPc,USLF20800179,no
1787,"The Veldt - Radio Edit","deadmau5",128,11B,76,2023-03-21,02:50,59,"edm, progressive house, dubstep","The Veldt",2012-01-01,74,6,21,49,0,0,-7,A Major,4,1vQ92830bxiBcIhpUj4qrn,GBTDG1200437,no
1788,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk,Pharrell Williams,Nile Rodgers",116,11A,81,2023-03-21,04:07,84,"french house, electronic, electro, ","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",2013-04-19,79,4,0,86,0,10,-9,F#/G♭ Minor,4,2Foc5Q5nqNiosCNqttzHof,USQX91300809,no
1789,"Bad Memories (feat. Elley Duhé & FAST BOY)","MEDUZA,James Carter,Elley Duhé,FAST BOY",124,4A,77,2023-03-21,02:28,70,"","Bad Memories (feat. Elley Duhé & FAST BOY)",2022-07-22,61,12,0,66,0,10,-6,F Minor,3,3rb0tMq42WfggucPm0HHkA,GBUM72203666,no
1790,"All By Myself","Alok,Sigala,Ellie Goulding",123,5A,86,2023-03-21,02:51,66,"brazilian bass, electronic, slap house, electro house, ","All By Myself",2022-10-07,62,8,0,73,0,10,-4,C Minor,4,5Hp4xFihdOE2dmDzxWcBFb,DEE862201655,no
1791,"Behind Blue Eyes","Limp Bizkit",120,9B,49,2023-03-21,04:29,82,"nu metal, rap metal, alternative metal, rap rock","Results May Vary",2003-01-01,60,50,0,9,0,10,-7,G Major,4,1MTQHCpraD4S8g5PAFKzoj,USIR10312186,no
1792,"Safe And Sound","Capital Cities",118,8B,82,2023-03-21,03:12,15,"","In A Tidal Wave Of Mystery (Deluxe Edition)",2013-00-00,66,0,0,77,0,10,-5,C Major,5,6Z8R6UsFuGXGtiIxiD8ISb,USCA21203108,no
1793,"Celestial","Ed Sheeran",123,10B,85,2023-03-22,03:29,70,"soft pop","Celestial",2022-09-29,57,5,0,50,0,10,-1,D Major,4,4zrKN5Sv8JS5mqnbVcsul7,GBAHS2201129,no
1794,"Too Well","Reneé Rapp",121,6B,60,2023-03-22,02:36,65,"","Everything To Everyone",2022-11-11,69,12,0,34,0,10,-5,A#/B♭ Major,4,6Szgu8v7CAapag3XuuJX0b,USUM72221171,yes
1795,"TRUSTFALL","P!nk",122,4B,89,2023-03-22,03:57,69,"","TRUSTFALL",2023-02-17,64,0,0,25,0,10,-4,G#/A♭ Major,4,1gUwi1o1S9W9P0FQgJdY8s,USRC12204190,no
1796,"Call It Love","felix jaehn,Ray Dalton",110,4A,84,2023-03-22,02:34,69,"tropical house, ","Call It Love",2022-09-16,62,6,0,71,0,40,-5,F Minor,4,5YdnOm5990Kfq1Jodws98B,DEUM72204750,no
1797,"Overdrive","Syn Cole,Carla Monroe",122,8A,89,2023-03-22,02:29,34,"tropical house, edm, ","Overdrive",2022-04-08,81,8,0,55,0,10,-5,A Minor,4,0Q4DIuuJWNTAcm5GAqN1GU,DEE862200335,no
1798,"Shadow","Syn Cole,Alida",124,5A,72,2023-03-22,02:46,43,"tropical house, edm, ","Shadow",2022-08-26,79,1,0,53,0,10,-6,C Minor,4,102rhgJ5PEFt62e0PumSF2,QZUCN2200111,no
1799,"What's With The Roses","NOTD,Kiiara",100,10A,91,2023-03-22,02:50,40,"","NOTED...EP",2022-09-09,70,14,0,61,10,20,-4,B Minor,4,4yAfpY1qSnBPvVqZIq5QjN,SEUM72200984,yes
1800,"Don't Leave Me Lonely","Clean Bandit,Elley Duhé",140,11A,72,2023-03-22,02:53,45,"","Don't Leave Me Lonely",2022-10-21,69,72,0,23,20,10,-6,F#/G♭ Minor,4,4uZKz3TLaSEY4vVb86jyAp,GBAHS2201206,no
1801,"Who Owns My Heart","Miley Cyrus",136,8A,81,2023-03-23,03:34,29,"","Who Owns My Heart",2010-01-01,57,1,0,36,10,0,-5,A Minor,4,5uSMQdkaXlGR4zpnQurR2z,USHR11030818,no
1802,"Who Owns My Heart - The Alias Radio Mix","Miley Cyrus",132,12B,93,2023-03-23,03:54,22,"","Who Owns My Heart",2010-01-01,59,0,0,60,10,30,-4,E Major,4,2zqsSHAfh0xu3MmwL7aXkV,USHR11032339,no
1803,"Waiting On The Sky To Change","STARSET,Breaking Benjamin,Judge & Jury",168,7B,93,2023-03-23,04:04,1,"alternative metal, post-grunge, rock, christian rock","Waiting On The Sky To Change",2022-08-19,37,0,0,31,10,30,-4,F Major,4,5qMSuD0mfQVQSA0CjifBi0,QM6N22291801,no
1804,"INFECTED","STARSET",108,8B,82,2023-03-23,03:08,54,"","HORIZONS",2021-10-22,51,0,0,47,0,10,-5,C Major,4,0gJPHCF06ON7FKzzNqB2hf,US5261923506,no
1805,"Shut Up","Alan Walker,UPSAHL",176,12A,61,2023-03-23,02:12,52,"","Walkerverse Pt. I & II",2022-11-25,38,13,0,45,0,30,-4,C♯/D♭ Minor,4,1hf9Wu2l0XIgAcTZLSAUJe,NOG842213010,yes
1806,"Breathing","Yellowcard",180,9A,93,2023-03-23,03:38,65,"pop punk, punk, emo","Ocean Avenue",2003-01-01,38,0,0,57,0,20,-4,E Minor,4,0DxN6Ywom8nnndyQXdSBPy,USCA20300232,no
1807,"Fake It","Seether",132,4B,95,2023-03-23,03:13,79,"post-grunge, alternative metal, rock","Finding Beauty In Negative Spaces (Bonus Track Version)",2007-01-01,61,0,0,61,0,0,-4,G#/A♭ Major,4,4eAwB5pnKFTmsgc3zWoYO0,USWU30700132,yes
1808,"Bigger Than","Justin Jesso,Seeb",175,12B,68,2023-03-23,03:26,43,"","Finding The Opposite Of Loneliness",2022-09-16,41,16,0,40,10,60,-5,E Major,4,0iXTMSICu2230YoT9InBf2,DEE861903912,no
1809,"Rich Love (with Seeb)","OneRepublic,Seeb",105,12A,87,2023-03-23,03:21,66,"soft pop, ","Rich Love",2017-07-14,40,17,0,47,30,30,-4,C♯/D♭ Minor,4,7dOeiXeTSfA1ixaYmQcWu7,USUM71705541,no
1810,"Wish You Were Here","Avril Lavigne",166,12B,87,2023-03-23,03:45,71,"","Goodbye Lullaby (Expanded Edition)",2011-03-08,45,3,0,34,0,10,-4,E Major,4,5XHf9PBxxHmJFuiDkGNIOA,USRC11100010,yes
1811,"Wrecked","Imagine Dragons",94,5A,56,2023-03-23,04:04,75,"","Mercury - Acts 1 & 2",2022-07-01,63,15,0,23,0,10,-6,C Minor,4,6TEftSkmWdTm1EpThnwqh6,USUM72110166,no
1812,"This Ain't A Scene, It's An Arms Race","Fall Out Boy",200,11B,89,2023-03-23,03:32,74,"emo, pop punk","Infinity On High",2007-01-01,44,0,0,41,0,0,-4,A Major,4,1oagRT7LfpVlNJN6FSZDGp,USUM70619006,no
1813,"Potion (with Dua Lipa & Young Thug)","Calvin Harris,Dua Lipa,Young Thug",100,10A,70,2023-03-23,03:35,55,"edm, pop, rap, melodic rap, trap","Funk Wav Bounces Vol. 2",2022-08-05,82,16,0,76,0,0,-5,B Minor,4,3h8tI65xdfpQyTAy7Grqwa,GBARL2201128,yes
1814,"What Lovers Do (feat. SZA)","Maroon 5,SZA",110,4A,60,2023-03-23,03:19,75,"pop, r&b","Red Pill Blues (Deluxe)",2018-06-15,80,8,0,42,0,10,-5,F Minor,4,0GxQ1A5L9xnMOytbP6eKBG,USUM71709292,no
1815,"Invincible","Adelitas Way",170,1B,96,2023-03-23,03:10,60,"post-grunge","Adelitas Way",2009-01-01,41,0,0,49,0,10,-5,B Major,4,4FthwGFz9SVZgCVqxNXsSK,USVI20900185,yes
1816,"Raindrops (feat. Jessica Chertock)","VINAI,Stefy De Cicco,Jessica Chertock",128,1A,88,2023-03-23,02:46,41,"melbourne bounce, slap house, big room, deep house","Raindrops (feat. Jessica Chertock)",2022-05-27,72,22,0,28,0,10,-4,G#/A♭ Minor,4,0mBmEZlBoEU7ofwOSYVPcj,DEE862200685,no
1817,"Heat Waves","Glass Animals",81,1B,53,2023-03-23,03:58,12,"","Dreamland (+ Bonus Levels)",2020-08-06,76,44,0,53,0,0,-7,B Major,4,02MWAaffLxlfxAUY7c5dvx,GBUM72000433,no
1818,"You Belong With Me","Taylor Swift",130,2B,75,2023-03-23,03:52,81,"","Fearless (Big Machine Radio Release Special)",2008-11-11,69,18,0,44,0,10,-4,F#/G♭ Major,4,1GEBsLDvJGw7kviySRI6GX,USCJY0803328,no
1819,"Here Without You","3 Doors Down",144,3A,53,2023-03-23,03:58,83,"post-grunge","Away From The Sun",2002-11-12,56,5,0,23,0,20,-7,A#/B♭ Minor,4,3NLrRZoMF0Lx6zTlYqeIo4,USUR10200764,no
1820,"Evacuate The Dancefloor","Cascada",127,8B,70,2023-03-23,03:27,6,"europop, eurodance, nightcore","Evacuate The Dancefloor",2009-01-01,76,2,0,90,0,30,-6,C Major,4,0jDWRUbxSn8zQlwFbeLHwo,DEHK90911201,no
1821,"Bad Boy","Cascada",140,10A,98,2023-03-23,03:13,58,"europop, eurodance, nightcore","Original Me",2011-01-01,67,1,7,60,0,20,-5,B Minor,4,0O4rbnRGXHiBHuqJemvTyv,DEZ620400032,no
1822,"Because The Night","Cascada",140,9B,99,2023-03-23,03:28,44,"europop, eurodance, nightcore","Perfect Day",2007-01-01,61,0,0,42,0,30,-7,G Major,4,0sC5mR2R9PQOohFCW7ulbI,DEHK90780401,no
1823,"Glorious - Extended Mix","Cascada",128,6A,70,2023-03-23,04:42,13,"europop, eurodance, nightcore","Glorious",2013-02-08,74,0,0,43,0,0,-6,G Minor,4,7r34kdnzuLa4QJSXcgeMd8,DEHK91366302,no
1824,"Summer of Love","Cascada",128,4B,75,2023-03-23,03:35,42,"europop, eurodance, nightcore","Summer of Love",2012-03-30,57,0,0,55,0,20,-6,G#/A♭ Major,4,5AzuRUQBFH1xtxZlUtT0VJ,DEHK91256601,no
1825,"The Rhythm of the Night - Video Edit","Cascada",128,5A,87,2023-03-23,03:21,43,"europop, eurodance, nightcore","The Rhythm of the Night",2012-06-22,64,1,0,67,0,10,-5,C Minor,4,1uwvFDe1dTUsNkOGP02cM5,DEHK91261401,no
1826,"Everytime We Touch - Hardwell & Maurice West Remix","Cascada,Maurice West",145,4A,85,2023-03-23,03:36,66,"europop, eurodance, nightcore, big room","Everytime We Touch (Hardwell & Maurice West Remix)",2018-08-06,55,0,0,29,0,10,-4,F Minor,4,18rHGxr6QDiPieSTo7cUGL,DEHK91892541,no
1827,"Miracle - Radio Edit","Cascada",140,8B,98,2023-03-23,03:37,0,"europop, eurodance, nightcore","Miracle",2006-01-01,64,5,0,55,0,20,-7,C Major,4,2hbeLMYR0TGMDQoaymdDSN,DEZ620400015,no
1828,"Fallen Angel","Three Days Grace",137,7A,91,2023-03-23,03:06,66,"post-grunge, rock","Human",2015-03-30,45,1,0,22,0,0,-4,D Minor,4,2iptAVf9jZerlywLwiGhak,USRC11500211,no
1829,"Sorry To Me Too","Julia Michaels",148,10A,64,2023-03-23,03:29,46,"","Sorry To Me Too",2022-11-11,67,35,0,38,0,10,-7,B Minor,4,4SDccIA3pVkjaZsivDPaV5,USUM72221183,no
1830,"Love Me Like You Do - From  Fifty Shades Of Grey ","Ellie Goulding",190,4B,61,2023-03-23,04:12,82,"","Delirium (Deluxe)",2015-11-06,26,25,0,28,0,10,-7,G#/A♭ Major,4,3zHq9ouUJQFQRf3cm1rRLu,GBUM71406823,no
1831,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2023-03-23,02:53,81,"score, ","Mercury - Acts 1 & 2",2022-07-01,73,24,0,56,20,40,-4,B Minor,4,3CIyK1V4JEJkg02E4EJnDl,USUM72119916,no
1832,"EveryTime I Cry","Ava Max",127,8A,83,2023-03-23,02:57,60,"","EveryTime I Cry",2021-06-08,73,18,0,21,0,0,-4,A Minor,4,0mV43B6pJWRjcM5TmzNe6d,USAT22102010,no
1834,"Sail","AWOLNATION",119,3B,44,2023-03-23,04:19,77,"","Megalithic Symphony",2011-03-15,83,44,62,27,0,10,-10,C♯/D♭ Major,4,7ueP5u2qkdZbIPN2YA6LR0,USP6L1000053,no
1835,"Bring Me To Life","Evanescence",95,9A,94,2023-03-23,03:55,92,"alternative metal","Fallen",2003-03-04,33,1,0,30,0,20,-3,E Minor,4,0COqiPhxzoWICwFCS4eZcp,USWU30200093,no
1836,"Going Under","Evanescence",175,10A,86,2023-03-23,03:34,83,"alternative metal","Fallen",2003-03-04,37,1,0,46,0,20,-5,B Minor,4,3UygY7qW2cvG9Llkay6i1i,USWU30200108,no
1837,"Call Me When You're Sober","Evanescence",93,9B,88,2023-03-23,03:34,77,"alternative metal","The Open Door",2006-01-01,45,0,0,33,0,20,-4,G Major,4,663Karu2rvKLdnY0eo1n3M,USWU30600102,no
1838,"Everybody's Fool","Evanescence",95,7A,84,2023-03-23,03:15,76,"alternative metal","Fallen",2003-03-04,44,0,0,30,0,20,-5,D Minor,4,0tWEB6BxbI48XN79QE1JbT,USWU30200106,no
1839,"Tourniquet","Evanescence",99,9A,90,2023-03-23,04:38,71,"alternative metal","Fallen",2003-03-04,20,1,1,14,0,30,-6,E Minor,4,46fyLy4W9HhAkcb67kLaAV,USWU30200115,no
1840,"My Heart Is Broken","Evanescence",96,2B,92,2023-03-23,04:29,65,"alternative metal","Evanescence",2011-01-01,47,0,5,23,0,50,-4,F#/G♭ Major,4,1Ej0xptDBpBxUM1dIPcHlm,USWU31100063,no
1841,"Imperfection","Evanescence",83,4A,81,2023-03-23,04:22,23,"alternative metal","Imperfection",2017-09-15,52,20,0,35,0,10,-4,F Minor,4,000nPH1O1e13YUJhvvnIDw,DEE861701429,yes
1842,"Faster","Within Temptation",120,11A,93,2023-03-23,04:23,67,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,51,0,0,49,0,10,-3,F#/G♭ Minor,4,4XBtYPGMAYJkuJu2w4pmYl,NLR261000004,no
1843,"Faded Out (feat. Within Temptation)","Asking Alexandria,Within Temptation",75,4B,94,2023-03-23,03:05,45,"metalcore, screamo, post-hardcore, metal, emo, symphonic metal, gothic metal, gothic rock, power metal","See What's On The Inside (Deluxe)",2022-11-04,48,0,0,53,0,20,-5,G#/A♭ Major,4,5yc4CGOURXVKgSkKZ0PoLB,USDPK2200091,no
1844,"The Fire Within","Within Temptation",90,9A,92,2023-03-23,03:33,44,"symphonic metal, gothic metal, gothic rock, power metal, metal","Forgotten Songs",2022-12-09,54,0,0,26,0,30,-4,E Minor,4,21rY9mKlKWRD6aHsdT5Pqu,NLR262200015,no
1845,"All I Need","Within Temptation",153,6B,73,2023-03-23,04:50,57,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Heart Of Everything",2007-03-09,23,20,0,12,0,10,-5,A#/B♭ Major,3,02oW7CYWjfiCs1rZs7GNes,NLR260600020,no
1846,"Stand My Ground","Within Temptation",176,4A,87,2023-03-23,04:27,57,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Silent Force",2004-11-12,27,5,0,13,0,10,-4,F Minor,4,7Chqf4yGnQlLWAWic9b0ET,DEC760400178,no
1847,"Paradise (What About Us?) [feat. Tarja]","Within Temptation,Tarja",135,9A,93,2023-03-23,05:19,0,"symphonic metal, gothic metal, gothic rock, power metal, metal","Hydra (Deluxe Edition)",2014-02-04,46,0,0,43,0,60,-4,E Minor,4,7IR2tGL04AWfVbK6bZiEEi,NLR261300001,no
1848,"Memories","Within Temptation",91,3A,68,2023-03-23,03:51,54,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Silent Force",2004-11-12,43,15,0,22,0,10,-7,A#/B♭ Minor,4,5qOA9jbfWAtxOJ8zY1ReYf,DEC760400310,no
1849,"In the Middle of the Night","Within Temptation",100,4B,89,2023-03-23,05:11,56,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,50,0,0,35,0,30,-4,G#/A♭ Major,4,35zwdnMhebt8gLF4WaCUMz,NLR261000003,no
1850,"Fire and Ice","Within Temptation",140,5A,52,2023-03-23,03:57,46,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,36,12,0,22,0,10,-7,C Minor,4,6fVNrImd5bzHgJMxxLqCee,NLR261000005,no
1851,"Iron","Within Temptation",198,10A,96,2023-03-23,05:41,57,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,29,0,0,27,10,30,-3,B Minor,3,3iSgRJUrMKHLglnrQrQ6kO,NLR261000006,no
1852,"Where is the Edge","Within Temptation",154,1A,90,2023-03-23,03:59,46,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,38,0,0,29,0,0,-4,G#/A♭ Minor,4,2UqvNtxruIlQbUWz4bhT89,NLR261000007,no
1853,"A Demon's Fate","Within Temptation",134,4A,91,2023-03-23,05:30,49,"symphonic metal, gothic metal, gothic rock, power metal, metal","The Unforgiving",2011-03-25,46,0,0,31,0,10,-3,F Minor,4,6UsQsPIPP7gjdtlISXx3F2,NLR261000011,no
