#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
369,"Sun Is Shining","Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",132,10B,76,2023-03-20,04:14,70,"edm","More Than You Know",2017-07-28,47,9,0,38,0,0,-3,D Major,4,4b2tcjrG1qUkSdsqEFP2dB,USUG11500070,no
370,"Stole the Show","Kygo,Parson James",100,1A,64,2023-03-20,03:43,81,"tropical house, ","Cloud Nine",2016-05-13,64,27,0,48,20,30,-8,G#/A♭ Minor,4,5masKPHeAOVNgxdLebIcK7,SEBGA1500071,no
371,"Younger - Kygo Remix","Seinabo Sey,Kygo",114,7B,49,2023-03-20,05:51,65,"tropical house","Pretend",2015-10-23,69,13,0,65,0,0,-8,F Major,4,7vHshinTU8161w69EPbabY,SEUM71400534,no
372,"Jubel","Klingande",125,8B,48,2023-03-20,04:43,1,"tropical house, deep house","The Album",2019-11-15,70,19,24,18,0,0,-7,C Major,4,27ZhKzjHoE0UUlyMXu0ZFa,FR6V81680341,no
373,"Miami 82 - Kygo Remix","Syn Cole,Madame Buttons,Kygo",113,7A,60,2023-03-20,05:41,52,"tropical house, edm","Miami 82 (Remixes)",2014-03-25,71,18,12,60,0,0,-7,D Minor,4,247hrISQMzbCjnh2m7Qypg,CH3131340377,no
374,"Sexual Healing - Kygo Remix","Marvin Gaye,Kygo",101,5A,68,2023-03-20,06:08,67,"motown, classic soul, soul, northern soul, quiet storm, tropical house","Sexual Healing (Kygo Remix)",2015-04-27,69,32,2,65,0,0,-7,C Minor,4,7s1upm7yr7ZjrzXMwHawtG,USSM11409378,no
375,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)","Matoma,The Notorious B.I.G.,Ja Rule,Ralph Tresvant",97,8B,86,2023-03-20,05:21,67,"tropical house, old school hip hop, gangster rap, east coast hip hop, hip hop, new jack swing, quiet storm","Old Thing Back (feat. Ja Rule and Ralph Tresvant)",2015-02-17,81,19,0,52,10,20,-3,C Major,4,6HTJZ0TQJVMSKkUGzAOe2h,USAT21500224,yes
376,"Easy Love","Sigala",124,11B,94,2023-03-20,03:47,69,"","Brighter Days",2018-09-28,68,18,0,65,0,10,-4,A Major,4,5s7xgzXtmY4gMjeSlgisjy,GBCEN1500481,no
377,"Final Song","MØ",105,12A,67,2023-03-20,03:55,66,"","Final Song",2016-05-13,70,1,0,25,0,0,-6,C♯/D♭ Minor,4,4qqArAiTPueDxIp7cf87h7,GBARL1600463,no
378,"Capsize","FRENSHIP,Emily Warren",93,4A,71,2023-03-20,03:57,69,"","Truce - EP",2016-09-02,68,4,16,36,0,60,-6,F Minor,4,2XMTqoHHSH0lvuXrvIEdco,USSM11605173,no
379,"Gold","Kiiara",113,4A,41,2023-03-20,03:45,74,"","lil kiiwi",2020-10-09,60,62,0,41,30,10,-9,F Minor,5,7yNX3ZFBWZoR52pbeU4Mcl,USAT21503773,no
380,"Kamikaze","MØ",158,12A,88,2023-03-20,03:32,56,"","Kamikaze",2015-10-15,66,4,0,70,0,30,-3,C♯/D♭ Minor,4,6TjP1C3sGQH1jBfzUXfcMg,GBARL1501371,no
381,"Never Forget You","Zara Larsson,MNEK",146,10A,73,2023-03-20,03:32,80,"","So Good",2017-03-17,58,0,0,28,0,20,-6,B Minor,4,6hmhG1b4LEyNuashVvuIAo,SEWEE1500801,no
382,"Talking Body","Tove Lo",120,9A,76,2023-03-20,03:58,75,"","Queen Of The Clouds",2014-09-24,74,10,0,11,0,0,-5,E Minor,4,7cgu4JBW3hq1GwTM1ilkKQ,SEUM71401533,yes
383,"Love Myself","Hailee Steinfeld",123,5A,76,2023-03-20,03:38,72,"","HAIZ",2016-02-26,62,0,0,32,0,40,-7,C Minor,4,36phXHOKx8rO7CMp2vNX4x,USUM71510716,no
384,"Don't Look Down (feat. Usher)","Martin Garrix,USHER",128,8B,83,2023-03-20,03:43,68,"edm, progressive house, electronica, r&b","Don't Look Down (feat. Usher)",2015-03-17,57,0,0,38,0,10,-6,C Major,4,5M9jOReAKGZ2AttVefFjTY,NLZ541500175,no
385,"Firestone","Kygo,Conrad Sewell",114,10A,63,2023-03-20,04:31,82,"tropical house, ","Cloud Nine",2016-05-13,70,39,0,41,0,10,-7,B Minor,4,1I8tHoNBFTuoJAlh4hfVVE,SEBGA1400887,no
386,"Blame (feat. John Newman)","Calvin Harris,John Newman",128,5A,86,2023-03-20,03:32,85,"edm, ","Motion",2014-10-31,41,3,1,35,0,30,-4,C Minor,4,07nH4ifBxUB4lZcsf44Brn,GBARL1400567,no
387,"Reload - Radio Edit","Sebastian Ingrosso,Tommy Trash,John Martin",128,8A,72,2023-03-20,03:41,72,"edm, ","Reload (Vocal Version / Radio Edit)",2013-01-01,49,7,0,43,0,0,-5,A Minor,4,5jyUBKpmaH670zrXrE0wmO,GBJ4B1300159,no
388,"Good Feeling","Flo Rida",128,12A,89,2023-03-20,04:08,85,"","Wild Ones",2012-06-22,71,6,0,68,0,30,-4,C♯/D♭ Minor,4,2LEF1A8DOZ9wRYikWgVlZ8,USAT21101961,no
389,"Summer","Calvin Harris",128,9A,86,2023-03-20,03:42,90,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296,no
390,"Light It Up","Major Lazer,Nyla,Fuse ODG",108,8A,88,2023-03-20,02:46,81,"moombahton, dancehall, azonto, afrobeats, hiplife","Peace Is The Mission : Extended",2015-11-27,75,4,0,75,0,20,-4,A Minor,4,1pjvlYOMIg1NhGQbM6iwrY,QMUY41500182,no
391,"You Don't Know Me (feat. RAYE)","Jax Jones,RAYE",124,10A,67,2023-03-20,03:32,74,"","Snacks",2019-07-12,88,16,0,67,10,30,-6,B Minor,4,4DJORZgsbqnEJ4f4B9TBGV,GBUM71606456,yes
392,"By Your Side","Jonas Blue,RAYE",123,2B,74,2023-03-20,03:21,69,"tropical house, ","Blue",2018-11-09,70,8,0,63,0,0,-4,F#/G♭ Major,4,4QTuyRQshEZYurtIDfE6g0,GBUM71605281,no
393,"Scared to Be Lonely","Martin Garrix,Dua Lipa",138,12A,54,2023-03-20,03:40,81,"edm, progressive house, electronica, pop","Scared to Be Lonely",2017-01-27,58,9,0,20,0,20,-8,C♯/D♭ Minor,4,3ebXMykcMXOcLeJ9xZ17XH,NLM5S1600025,no
394,"New Rules","Dua Lipa",116,8A,70,2023-03-20,03:29,79,"pop","Dua Lipa (Deluxe)",2017-06-02,76,0,0,61,0,10,-6,A Minor,4,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310,no
395,"Closer","The Chainsmokers,Halsey",95,4B,52,2023-03-20,04:04,90,"","Closer",2016-07-29,75,41,0,66,0,10,-6,G#/A♭ Major,4,7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347,no
396,"Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",90,11A,69,2023-03-20,02:50,81,"","FRIENDS KEEP SECRETS",2018-12-07,63,55,0,33,20,20,-8,F#/G♭ Minor,4,7FGq80cy8juXBCD2nrqdWU,USUM71809132,no
397,"Ocean (feat. Khalid)","Martin Garrix,Khalid",140,5A,69,2023-03-20,03:36,69,"edm, progressive house, electronica, ","Ocean (feat. Khalid)",2018-06-15,51,58,0,22,0,0,-7,C Minor,4,3nc420PXjTdBV5TN0gCFkS,NLM5S1800214,no
398,"Silence","Marshmello,Khalid",142,12B,76,2023-03-20,03:00,81,"edm, ","Silence",2017-08-11,52,26,0,29,0,10,-3,E Major,4,7vGuf3Y35N4wmASOKLUVVU,USRC11701901,no
399,"Wolves","Selena Gomez,Marshmello",125,10A,80,2023-03-20,03:17,79,"edm","Wolves",2017-10-25,73,12,0,31,0,20,-5,B Minor,4,0tBbt8CrmxbjRP0pueQkyU,USUM71712103,no
400,"Havana (feat. Young Thug)","Camila Cabello,Young Thug",105,10B,52,2023-03-20,03:37,86,"rap, melodic rap, trap","Camila",2018-01-12,77,18,0,39,0,10,-4,D Major,4,1rfofaqEpACxVEHIZBJe6W,USSM11706905,no
401,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",103,4B,71,2023-03-20,02:54,75,"edm, country, pop country, acoustic country, ","Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,66,3,0,74,0,0,-4,G#/A♭ Major,4,5Gu0PDLN4YJeW75PpBSg9p,USUM71709685,no
402,"Never Be the Same","Camila Cabello",130,8B,71,2023-03-20,03:46,83,"","Camila",2018-01-12,64,18,0,24,0,10,-4,C Major,4,4eWQlBRaTjPPUlzacqEeoQ,USSM11710323,no
403,"This Love","Maroon 5",95,4A,86,2023-03-20,03:26,89,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,71,5,0,81,0,0,-5,F Minor,4,6ECp64rv50XVz93WvxXMGF,USJAY0300080,no
404,"In the Name of Love","Martin Garrix,Bebe Rexha",134,9A,52,2023-03-20,03:18,84,"edm, progressive house, electronica, ","In the Name of Love",2016-07-29,50,11,0,17,0,40,-6,E Minor,4,23L5CiUhw2jV1OIMwthR3S,NLM5S1600003,no
405,"Stay","Zedd,Alessia Cara",102,4A,62,2023-03-20,03:30,80,"edm, ","Stay",2017-02-23,69,25,0,54,0,10,-5,F Minor,4,6uBhi9gBXWjanegOb2Phh0,USUM71700736,no
406,"Scars To Your Beautiful","Alessia Cara",194,8B,74,2023-03-20,03:50,82,"","Know-It-All",2015-11-13,32,3,0,45,20,10,-6,C Major,4,0wI7QkCcs8FUQE1OkXUIqd,USUM71506811,no
407,"Without Me","Halsey",136,2B,49,2023-03-20,03:21,86,"","Manic",2020-01-17,75,29,0,53,0,0,-7,F#/G♭ Major,4,6FZDfxM3a3UCqtzo5pxSLZ,USUM71813499,yes
408,"thank u, next","Ariana Grande",107,3B,65,2023-03-20,03:27,87,"pop","thank u, next",2019-02-08,72,23,0,41,0,10,-6,C♯/D♭ Major,4,3e9HZxeyfWwjeyPAMmWSSQ,USUM71819361,yes
409,"Nothin' on You (feat. Bruno Mars)","B.o.B,Bruno Mars",104,6B,85,2023-03-20,04:28,88,"","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,69,39,0,74,0,0,-6,A#/B♭ Major,4,59dLtGBS26x7kc0rHbaPrq,USAT20904033,no
410,"Where Is The Love?","Black Eyed Peas",94,7B,70,2023-03-20,04:32,86,"","Elephunk",2003-06-24,83,11,0,81,10,10,-3,F Major,4,0xmjwnQ3FNE6HuWCt2nHdZ,USIR10311862,no
411,"Don't Cha","The Pussycat Dolls,Busta Rhymes",120,3B,63,2023-03-20,04:32,78,"east coast hip hop","PCD",2005-01-01,88,1,0,55,10,10,-3,C♯/D♭ Major,4,0BxfFnk0YzONqvmrkO0QrB,USUM70503191,no
412,"Rich Girl","Gwen Stefani,Eve",98,6A,75,2023-03-20,03:56,77,"","Love. Angel. Music. Baby.",2004-11-12,86,3,0,76,0,20,-3,G Minor,4,2oxtQ84p1j5GmyzmD50Lq0,USIR10400846,no
413,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2023-03-20,04:02,90,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473,no
414,"There She Goes","Taio Cruz",128,12A,92,2023-03-20,03:28,64,"","There She Goes",2012-01-01,69,6,0,72,10,30,-4,C♯/D♭ Minor,4,5tmuKTnfayZkjDlukTz3vT,GBUM71201995,no
415,"Say My Name","Destiny's Child",138,4A,68,2023-03-20,04:31,84,"","The Writing's On The Wall",1999-07-27,71,27,0,73,10,10,-4,F Minor,4,7H6ev70Weq6DdpZyyTmUXk,USSM19901056,no
416,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",105,10B,79,2023-03-20,04:10,89,"r&b, crunk, southern hip hop","Confessions (Expanded Edition)",2004-03-23,89,2,0,58,10,0,-5,D Major,4,5rb9QrpfcKFHM1EUbSIurX,USAR10301423,no
417,"1, 2 Step (feat. Missy Elliott)","Ciara,Missy Elliott",113,4A,51,2023-03-20,03:23,79,"hip hop","Goodies",2004-09-27,94,4,0,84,10,0,-11,F Minor,4,7uKcScNXuO3MWw6LowBjW1,USLF20400121,no
418,"Sexy Bitch (feat. Akon)","David Guetta,Akon",130,10A,63,2023-03-20,03:15,62,"edm, ","One More Love",2010-11-22,81,8,0,80,0,10,-5,B Minor,4,127uq83uGFapbddqiMUKky,FRZID0900500,yes
419,"Cry Me a River","Justin Timberlake",74,1A,65,2023-03-20,04:48,81,"","Justified",2002-11-04,62,58,0,56,10,10,-7,G#/A♭ Minor,4,7Lf7oSEVdzZqTA0kEDSlS5,USJI10200366,no
420,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",146,10B,93,2023-03-20,04:18,89,"","The Heist",2012-10-09,63,3,0,88,0,10,-4,D Major,4,22skzmqfdWrjJylampe0kt,GMM881200002,no
421,"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii,Nicky Romero",128,11A,79,2023-03-20,03:28,75,"edm, big room, progressive house, electro house","I Could Be The One [Avicii vs Nicky Romero]",2012-12-26,51,33,0,64,0,30,-4,F#/G♭ Minor,4,1sh6lL6cmlcwhqZKGiKBua,SEUM71201601,no
422,"Little Talks","Of Monsters and Men",103,3B,76,2023-03-20,04:26,84,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106,no
423,"Fast Car","Jonas Blue,Dakota",114,11B,58,2023-03-20,03:32,78,"tropical house, ","Blue",2018-11-09,67,47,0,55,0,30,-7,A Major,4,1SN1vSPsr4V4tIUTR3s8YW,GBUM71507621,no
424,"We Are Never Ever Getting Back Together","Taylor Swift",86,9B,68,2023-03-20,03:13,74,"","Red (Big Machine Radio Release Special)",2012-10-22,63,1,0,75,0,10,-6,G Major,4,0VwNdo84DaVYLIkbVO86ND,USCJY1231018,no
425,"The Lazy Song","Bruno Mars",175,1A,71,2023-03-20,03:09,84,"","Doo-Wops & Hooligans",2010-05-11,79,30,0,96,0,10,-5,G#/A♭ Minor,4,386RUes7n1uM1yfzgeUuwp,USAT21001886,no
426,"Party In The U.S.A.","Miley Cyrus",96,3A,70,2023-03-20,03:22,85,"","The Time Of Our Lives (International Version)",2009-01-01,65,0,0,47,0,0,-5,A#/B♭ Minor,4,3E7dfMvvCLUddWissuqMwr,USHR10924519,no
427,"Back 2 Life","E-Type",129,6A,96,2011-02-06,03:37,19,"eurodance, europop","Back 2 Life",2011-01-01,65,0,0,42,10,10,-5,G Minor,4,37eQOxowTLGWEEhV3t04ae,SE2LL1000101,no
